provincia,zona,titulo,PrecioAnterior,metros,habitaciones,ascensor,localizacion,planta,baños,tags,descripcion,Enlace,tipo_inmueble,barrio,baños_limpio,flag_rebaja,pct_rebaja,ascensor_limpio,localizacion_limpio,planta_limpio,habitaciones_limpio,flag_loft,flag_nuda_propiedad,flag_proindiviso,flag_subasta,flag_okupada,flag_alquilada,PrecioActual
madrid,barrio-de-salamanca,"Piso en Goya, Madrid",0,130,2.0,S,,6ª,0,"VIVIENDA,PISO,AMPLIO,OPORTUNIDAD,ELEGANTE,INTERIOR","Este encantador piso interior se encuentra en la sexta planta de un elegante edificio con ascensor en el cotizado barrio de Salamanca-Lista. Actualmente en proceso de reforma, esta vivienda presenta una oportunidad única de personalizar el espacio según sus preferencias y necesidades.El piso cuenta con dos amplios d",https://www.idealista.com/inmueble/107289557/,Piso,Goya,,0,0.0,S,DESCONOCIDO,6ª,2.0,0,0,0,0,0,0,1364900
madrid,usera,"Piso en calle Sacromonte, 12 de Octubre-Orcasur, Madrid",0,134,4.0,N,EXTERIOR,,0,PISO,"Inmueble ilegalmente okupado, situado en la calle sacromonte 11, piso 2,   puerta izquierda, madrid, madridno se puede visitar, no se puede tasar ni se puede hipotecar. Se tiene que comprar pagando al contado y el comprador asume la tarea de la desocupación.",https://www.idealista.com/inmueble/104871386/,Piso,12 de Octubre-Orcasur,,0,0.0,N,EXTERIOR,DESCONOCIDO,4.0,0,0,0,0,1,0,157000
madrid,san-blas,"Piso en paseo de Ginebra, 26, Rosas, Madrid",0,57,1.0,S,EXTERIOR,6ª,1,"PISO,VISTAS,METRO,CALEFACCIÓN,ARMARIOS","Piso junto al metro Linea 2, las Rosas.El inmueble cuenta con una superficie de 57 m² construidos, salón-comedor, cocina americana, suelos de tarima y 1 baño completo, aire acondicionado y calefacción.2 armarios empotrados.Ventanas climalit, paredes lisas.Puertas lacadas en blanco.Trastero.Excelentes vistas al Pa",https://www.idealista.com/inmueble/98371628/,Piso,Rosas,1.0,0,0.0,S,EXTERIOR,6ª,1.0,0,0,0,0,0,0,305000
madrid,fuencarral,"Piso en calle de Sangenjo, La Paz, Madrid",0,168,4.0,S,EXTERIOR,1ª,0,OPORTUNIDAD,"¡Gran oportunidad de reforma en una de las mejores zonas de Madrid!Gracias a las empresas del GRUPO LEGEND, aportamos Asesoramiento Fiscal, Financiero y un Arquitecto a su disposición para cualquier consulta o servicio que necesite, todos estos servicios son incluidos sin coste adicional a nuestros clientes.¡Además",https://www.idealista.com/inmueble/107205651/,Piso,La Paz,,0,0.0,S,EXTERIOR,1ª,4.0,0,0,0,0,0,0,690000
madrid,usera,"Piso en calle Padre José María, 12 de Octubre-Orcasur, Madrid",0,120,4.0,S,EXTERIOR,4ª,0,"PISO,REFORMADO,AMPLIO,OPORTUNIDAD,SUITE,ARMARIOS","OPORTUNIDAD!Buen piso y amplio de 120 M2, de 4 habitaciones y 2 cuartos de baño, uno de ellos en suite.Es amplio, tiene 120 M2.Hace esquina, dos orientaciones este y sur.Armarios empotrados en todas las habitacionesLa cocina y el salón han sido reformados, con una importante inversión.SALOM MUY AMPLIO, y r",https://www.idealista.com/inmueble/106113044/,Piso,12 de Octubre-Orcasur,,0,0.0,S,EXTERIOR,4ª,4.0,0,0,0,0,0,0,310000
madrid,barrio-de-salamanca,"Piso en paseo de la Castellana, Recoletos, Madrid",5490000,298,4.0,S,EXTERIOR,5ª,0,"LUJO,ESPECTACULAR,REFORMADA,BALCONES,ESTUDIO","Espectacular propiedad situada en edificio señorial de excelente construcción y magnífica fachada con balcones y balaustradas, portal clásico con molduras y artesonados de la época.Reformada de lujo con excelentes calidades por un estudio de arquitectura de reconocido prestigio y ubicada en un enclave único en el Bar",https://www.idealista.com/inmueble/104280555/,Piso,Recoletos,,1,8.01,S,EXTERIOR,5ª,4.0,0,0,0,0,0,0,5050000
madrid,barrio-de-salamanca,"Piso en calle de Ferrer del Río, Guindalera, Madrid",0,40,2.0,S,INTERIOR,4ª,1,"VIVIENDA,PISO,EXCLUSIVA,REFORMADA,CALEFACCIÓN","REDPISO GUINDALERA-CARTAGENA le ofrece exclusiva vivienda completamente reformada en el Barrio de la Guindalera-Distrito Salamanca. 4ª planta muy luminosa con una superficie construida de 40m² distribuidos en salón con cocina abierta al salón, dos dormitorios y un baño.La vivienda está dotada de calefacción individual",https://www.idealista.com/inmueble/105802048/,Piso,Guindalera,1.0,0,0.0,S,INTERIOR,4ª,2.0,0,0,0,0,0,0,356000
madrid,chamartin,"Piso en El Viso, Madrid",0,283,5.0,S,EXTERIOR,5ª,1,"VIVIENDA,TERRAZA,INMOBILIARIA,HALL","ÚNICA Inmobiliaria Chamartín ofrece esta estupenda vivienda con una situación excepcional.Actualmente distribuida en: hall de entrada, gran salón y comedor independientes con acceso a una agradable terraza; cocina con entrada independiente con office, lavadero y dormitorio de servicio con baño, dormitorio principal e",https://www.idealista.com/inmueble/85696877/,Piso,El Viso,1.0,0,0.0,S,EXTERIOR,5ª,5.0,0,0,0,0,0,0,1900000
madrid,tetuan,"Piso en calle de Bravo Murillo, Cuatro Caminos, Madrid",0,270,6.0,S,EXTERIOR,1ª,0,"FINCA,OPORTUNIDAD,METRO","Esta es una excelente oportunidad para aquellos que buscan invertir en el mercado inmobiliario y obtener una gran rentabilidad. Nos complace presentarles este magnífico inmueble ubicado en el barrio de Castellana-Orense, en Madrid. Se trata de dos fincas registrales con una superficie total de 270 metros cuadrados, que",https://www.idealista.com/inmueble/106011161/,Piso,Cuatro Caminos,,0,0.0,S,EXTERIOR,1ª,6.0,0,0,0,0,0,0,1160000
madrid,centro,"Piso en calle del Acuerdo, 34, Malasaña-Universidad, Madrid",1700000,246,5.0,S,EXTERIOR,1ª,3,"VIVIENDA,PISO,AMPLIO,ÁTICO,SUITE,EXTERIOR","Vivienda situada en el emblemático Edificio Princesa, obra del famoso arquitecto Fernando Higueras.Todo el piso es exterior.Portal representativo, gran salón, 4 dormitorios y 3 baños, de los cuales 3 son amplios dormitorios, 1 de ellos con baño en suite, cocina espaciosa y el otro dormitorio es de servicio con baño.",https://www.idealista.com/inmueble/106641630/,Piso,Malasaña-Universidad,3.0,1,2.94,S,EXTERIOR,1ª,5.0,0,0,0,0,0,0,1650000
